partner_code,partner_desc,partner_iso3,is_group
0,World,W00,True
4,Afghanistan,AFG,False
8,Albania,ALB,False
10,Antarctica,ATA,False
12,Algeria,DZA,False
16,American Samoa,ASM,False
20,Andorra,AND,False
24,Angola,AGO,False
28,Antigua and Barbuda,ATG,False
31,Azerbaijan,AZE,False
32,Argentina,ARG,False
36,Australia,AUS,False
40,Austria,AUT,False
44,Bahamas,BHS,False
48,Bahrain,BHR,False
50,Bangladesh,BGD,False
51,Armenia,ARM,False
52,Barbados,BRB,False
56,Belgium,BEL,False
58,Belgium-Luxembourg (...1998),BEL,False
60,Bermuda,BMU,False
64,Bhutan,BTN,False
68,Bolivia (Plurinational State of),BOL,False
70,Bosnia Herzegovina,BIH,False
72,Botswana,BWA,False
74,Bouvet Island,BVT,False
76,Brazil,BRA,False
80,Br. Antarctic Terr.,ATB,False
84,Belize,BLZ,False
86,Br. Indian Ocean Terr.,IOT,False
90,Solomon Isds,SLB,False
92,Br. Virgin Isds,VGB,False
96,Brunei Darussalam,BRN,False
100,Bulgaria,BGR,False
104,Myanmar,MMR,False
108,Burundi,BDI,False
112,Belarus,BLR,False
116,Cambodia,KHM,False
120,Cameroon,CMR,False
124,Canada,CAN,False
129,"Caribbean, nes",A49,False
132,Cabo Verde,CPV,False
136,Cayman Isds,CYM,False
140,Central African Rep.,CAF,False
144,Sri Lanka,LKA,False
148,Chad,TCD,False
152,Chile,CHL,False
156,China,CHN,False
158,"Taiwan, Province of China",TWN,False
162,Christmas Isds,CXR,False
166,Cocos Isds,CCK,False
170,Colombia,COL,False
174,Comoros,COM,False
175,Mayotte (Overseas France),MYT,False
178,Congo,COG,False
180,Dem. Rep. of the Congo,COD,False
184,Cook Isds,COK,False
188,Costa Rica,CRI,False
191,Croatia,HRV,False
192,Cuba,CUB,False
196,Cyprus,CYP,False
200,Czechoslovakia (...1992),CSK,False
203,Czechia,CZE,False
204,Benin,BEN,False
208,Denmark,DNK,False
212,Dominica,DMA,False
214,Dominican Rep.,DOM,False
218,Ecuador,ECU,False
221,"Eastern Europe, nes",E29,False
222,El Salvador,SLV,False
226,Equatorial Guinea,GNQ,False
230,Ethiopia (...1992),ETH,False
231,Ethiopia,ETH,False
232,Eritrea,ERI,False
